PlantID,PlantName,Accession,ExperimentID,User,ExperimentConditionName,ExperimentGrowthLocation,Tray Position,Germination Date,Leaf No - 01Apr15,Leaf No - 8Apr15,Leaf No - 15Apr15,Tiller No. - 15Apr15,Leaf No - 24Apr15,Tiller No - 24Apr15,Leaf No - 01May15,Tiller No - 01May15,Leaf No - 06May15,Tiller No - 06May15,Leaf #3 Width (mm),Leaf #3 Length (cm),Total Leaf Area (cm2),DW (mg)
21153,Bd30-1_r1,Bd30-1,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10A1,25Mar,1.3,2.3,3.1,1,3.7,2,4.4,2,,,,,,
21154,Bd21-3_r1,Bd21-3,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10A2,23Mar,1.4,2.2,2.9,,3.6,,4.4,0,,,,,,
21155,ABR5_r1,ABR5,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10A3,23Mar,1,1.8,2.9,,3.4,1,4.2,2,,,,,,
21156,Bd21_r1,Bd21,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10A4,23Mar,1.2,2.2,2.9,,3.5,,4.3,0,,,,,,
21157,BdTR2n_r1,BdTR2n,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10A5,24Mar,1,1.9,2.3,,2.9,,3.4,0,,,,,,
21158,Bdis23-05_r1,Bdis23-05,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10B1,24Mar,1,1.7,2.6,,3.2,,3.8,0,,,,,,
21159,Bd21_r2,Bd21,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10B2,24Mar,1.2,2.1,2.9,,3.5,,4.3,0,,,,,,
21160,ABR2_r1,ABR2,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10B3,24Mar,1,1.7,2.8,,3.3,1,3.8,2,,,,,,
21161,BdTR2n_r2,BdTR2n,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10B4,23Mar,1.4,2.2,2.8,,3.5,,4.3,1,,,,,,
21162,ABR5_r2,ABR5,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10B5,24Mar,1,1.8,2.8,,3.4,1,4.2,2,,,,,,
21163,BdTR2n_r3,BdTR2n,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10C1,24Mar,1.3,2.3,2.9,,3.7,,4.5,0,,,,,,
21164,Bd30-1_r2,Bd30-1,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10C2,23Mar,1.2,2.2,2.9,1,3.6,2,4.4,2,,,,,,
21165,Bd21-3_r2,Bd21-3,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10C3,23Mar,1.5,2.3,3.1,,3.6,,4.4,0,,,,,,
21166,Bdis23-05_r2,Bdis23-05,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10C4,24Mar,1,1.7,2.7,,3.3,1,4.1,2,,,,,,
21167,BdTR11a_r1,BdTR11a,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10C5,25Mar,1,1.9,2.3,,2.8,,3.6,0,,,,,,
21168,BdTR11a_r2,BdTR11a,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10D1,24Mar,1.1,1.9,2.5,,3.2,,3.9,0,,,,,,
21169,BdTR2n_r4,BdTR2n,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10D2,23Mar,1.3,2.1,2.9,,3.5,,4.3,1,,,,,,
21170,Bd30-1_r3,Bd30-1,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10D3,23Mar,1.3,2.3,2.9,,3.7,,4.4,1,,,,,,
21171,ABR5_r3,ABR5,BVZ0042,Pip,Wagga Spring,NCRIS CH04,10D4,23Mar,1.1,1.8,2.9,,3.5,,4.1,2,,,,,,
21172,Bd21_r3,Bd21,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11A1,23Mar,1.4,2.2,3.1,,3.6,,4.3,0,,,,,,
21173,ABR2_r2,ABR2,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11A2,23Mar,1.1,2.1,2.9,1,3.2,1,3.5,1,,,,,,
21174,BdTR11a_r3,BdTR11a,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11A3,,1,1.9,2.5,,2.9,,3.4,0,,,,,,
21175,Bd30-1_r4,Bd30-1,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11A4,23Mar,1.4,2.3,3.2,1,3.7,1,4.3,1,,,,,,
21176,Bdis23-05_r3,Bdis23-05,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11A5,24Mar,1,1.6,2.2,,2.8,,3.2,0,,,,,,
21177,Bd21-3_r2,Bd21-3,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11B1,23Mar,1.7,2.5,3.2,,3.6,,4.2,0,,,,,,
21178,ABR5_r4,ABR5,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11B2,25Mar,1,1.6,2.7,,3.2,,3.8,1,,,,,,
21179,Bdis23-05_r4,Bdis23-05,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11B3,24Mar,1.1,2.1,2.9,,3.3,1,3.9,1,,,,,,
21180,ABR2_r3,ABR2,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11B4,24Mar,1,1.9,2.6,,2.9,,3.3,0,,,,,,
21181,Bd30-1_r5,Bd30-1,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11B5,23Mar,1.4,2.4,3.4,1,3.9,2,4.4,2,,,,,,
21182,ABR2_r4,ABR2,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11C1,24Mar,1.1,1.9,2.6,,2.9,,3.3,0,,,,,,
21183,BdTR11a_r4,BdTR11a,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11C2,,1,1.9,2.4,,2.9,,3.5,0,,,,,,
21184,BdTR2n_r5,BdTR2n,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11C3,24Mar,1.5,2.2,2.8,,2.9,,3.4,0,,,,,,
21185,Bd21-3_r3,Bd21-3,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11C4,23Mar,1.6,2.4,2.9,,3.4,,4.1,0,,,,,,
21186,Bd21_r4,Bd21,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11C5,24Mar,1.4,2.3,2.9,,3.6,,4.2,0,,,,,,
21187,ABR5_r5,ABR5,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11D1,24Mar,1.1,2.1,2.8,,3.3,,4.1,0,,,,,,
21188,Bdis23-05_r5,Bdis23-05,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11D2,24Mar,1,1.7,2.4,,2.7,,3.2,0,,,,,,
21189,Bd21_r5,Bd21,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11D3,23Mar,1.3,2.2,2.9,,3.4,,4.1,0,,,,,,
21190,BdTR11a_r5,BdTR11a,BVZ0042,Pip,Wagga Spring,NCRIS CH04,11D4,24Mar,1.1,1.9,2.4,,2.8,,3.3,0,,,,,,
21191,Bd30-1_r6,Bd30-1,BVZ0042,,Wagga Spring,NCRIS CH04,14A1,23Mar,1.4,2.3,3.2,1,3.6,2,4.2,2,,,,,,
21192,ABR5_r6,ABR5,BVZ0042,,Wagga Spring,NCRIS CH04,14A2,24Mar,1,2.1,2.7,,3.4,1,4.3,1,,,,,,
21193,Bdis23-05_r6,Bdis23-05,BVZ0042,,Wagga Spring,NCRIS CH04,14A3,24Mar,1.1,2.1,2.9,,3.4,,4.1,0,,,,,,
21194,Bd21_r6,Bd21,BVZ0042,,Wagga Spring,NCRIS CH04,14A4,25Mar,1,1.9,2.7,,3.3,,4.1,0,,,,,,
21195,BdTR2n_r6,BdTR2n,BVZ0042,,Wagga Spring,NCRIS CH04,14A5,,,,,,,,,,,,,,,
21196,Bdis23-05_r7,Bdis23-05,BVZ0042,,Wagga Spring,NCRIS CH04,14B1,24Mar,1,1.8,2.8,,3.2,,3.7,0,,,,,,
21197,ABR2_r5,ABR2,BVZ0042,,Wagga Spring,NCRIS CH04,14B2,24Mar,1,1.9,2.7,,3.1,1,3.7,1,,,,,,
21198,BdTR11a_r6,BdTR11a,BVZ0042,,Wagga Spring,NCRIS CH04,14B3,,,,,,,,,,,,,,,
21199,BdTR2n_r7,BdTR2n,BVZ0042,,Wagga Spring,NCRIS CH04,14B4,23Mar,1.5,2.3,2.9,,3.5,,4.2,1,,,,,,
21200,ABR5_r7,ABR5,BVZ0042,,Wagga Spring,NCRIS CH04,14B5,25Mar,1,2.1,2.7,,3.2,,3.9,0,,,,,,
21201,Bd21-3_r4,Bd21-3,BVZ0042,,Wagga Spring,NCRIS CH04,14C1,23Mar,1.4,2.2,2.9,,3.5,,4.1,0,,,,,,
21202,Bdis23-05_r8,Bdis23-05,BVZ0042,,Wagga Spring,NCRIS CH04,14C2,24Mar,1,1.9,2.8,,3.4,,4.1,0,,,,,,
21203,Bd21_r7,Bd21,BVZ0042,,Wagga Spring,NCRIS CH04,14C3,23Mar,1.4,2.3,2.9,,3.8,,4.5,1,,,,,,
21204,ABR2_r6,ABR2,BVZ0042,,Wagga Spring,NCRIS CH04,14C4,23Mar,1.1,1.9,2.7,,3.2,1,3.8,2,,,,,,
21205,Bd30-1_r7,Bd30-1,BVZ0042,,Wagga Spring,NCRIS CH04,14C5,23Mar,1.4,2.3,3.2,,3.7,,4.4,1,,,,,,
21206,ABR2_r7,ABR2,BVZ0042,,Wagga Spring,NCRIS CH04,14D1,,,,,,,,,,,,,,,
21207,BdTR2n_r8,BdTR2n,BVZ0042,,Wagga Spring,NCRIS CH04,14D2,24Mar,1.1,1.8,2.6,,3.2,,3.8,0,,,,,,
21208,Bd30-1_r8,Bd30-1,BVZ0042,,Wagga Spring,NCRIS CH04,14D3,23Mar,1.3,2.2,2.9,,3.7,,4.3,1,,,,,,
21209,Bd21-3_r5,Bd21-3,BVZ0042,,Wagga Spring,NCRIS CH04,14D4,23Mar,1.2,2.2,2.9,,3.7,,4.4,0,,,,,,
21210,Bd21_r8,Bd21,BVZ0042,,Wagga Spring,NCRIS CH04,15A1,23Mar,1.3,2.1,2.9,,3.5,,4.3,0,,,,,,
21211,BdTR11a_r7,BdTR11a,BVZ0042,,Wagga Spring,NCRIS CH04,15A2,24Mar,1.3,2.1,2.9,,3.4,,3.7,0,,,,,,
21212,BdTR2n_r9,BdTR2n,BVZ0042,,Wagga Spring,NCRIS CH04,15A3,23Mar,1,1.8,2.9,,3.4,,3.8,0,,,,,,
21213,Bd30-1_r9,Bd30-1,BVZ0042,,Wagga Spring,NCRIS CH04,15A4,23Mar,1.4,2.3,3.2,1,3.8,2,4.4,2,,,,,,
21214,Bdis23-05_r9,Bdis23-05,BVZ0042,,Wagga Spring,NCRIS CH04,15A5,23Mar,1.1,2.1,2.9,,3.5,1,4.1,1,,,,,,
21215,BdTR2n_r10,BdTR2n,BVZ0042,,Wagga Spring,NCRIS CH04,15B1,23Mar,1.4,2.2,2.9,,3.5,,4.1,0,,,,,,
21216,Bd21-3_r6,Bd21-3,BVZ0042,,Wagga Spring,NCRIS CH04,15B2,23Mar,1.5,2.6,3.3,,4.2,2,4.7,0,,,,,,
21217,ABR5_r8,ABR5,BVZ0042,,Wagga Spring,NCRIS CH04,15B3,23Mar,1.2,2.3,3.2,1,3.7,2,4.4,2,,,,,,
