PlantNumber,AccessionID,PlantID,EXPID
001,QLD.1.A1-LING-AR.PE,24001,BVZ0047
002,QLD.1.A2-LING-AR.PE,24002,BVZ0047
003,QLD.1.B1-LING-CA.SU,24003,BVZ0047
004,QLD.1.B2-LING-CA.SU,24004,BVZ0047
005,QLD.1.C1-LING-CA.AU,24005,BVZ0047
006,QLD.1.C2-LING-CA.AU,24006,BVZ0047
007,QLD.1.D1-LING-DO.AR,24007,BVZ0047
008,QLD.1.D2-LING-DO.AR,24008,BVZ0047
009,QLD.1.E1-LING-FL.BO,24009,BVZ0047
010,QLD.1.E2-LING-FL.BO,24010,BVZ0047
011,QLD.1.F1-LING-LI.LE,24011,BVZ0047
012,QLD.1.F2-LING-LI.LE,24012,BVZ0047
013,QLD.1.G1-LING-PO.EL,24013,BVZ0047
014,QLD.1.G2-LING-PO.EL,24014,BVZ0047
015,QLD.1.H1-LING-SY.SA,24015,BVZ0047
016,QLD.1.H2-LING-SY.SA,24016,BVZ0047
017,QLD.2.A1-LING-AR.PE,24017,BVZ0047
018,QLD.2.A2-LING-AR.PE,24018,BVZ0047
019,QLD.2.B1-LING-CA.SU,24019,BVZ0047
020,QLD.2.B2-LING-CA.SU,24020,BVZ0047
021,QLD.2.C1-LING-CA.AU,24021,BVZ0047
022,QLD.2.C2-LING-CA.AU,24022,BVZ0047
023,QLD.2.D1-LING-DO.AR,24023,BVZ0047
024,QLD.2.D2-LING-DO.AR,24024,BVZ0047
025,QLD.2.E1-LING-FL.BO,24025,BVZ0047
026,QLD.2.E2-LING-FL.BO,24026,BVZ0047
027,QLD.2.F1-LING-LI.LE,24027,BVZ0047
028,QLD.2.F2-LING-LI.LE,24028,BVZ0047
029,QLD.2.G1-LING-PO.EL,24029,BVZ0047
030,QLD.2.G2-LING-PO.EL,24030,BVZ0047
031,QLD.2.H1-LING-SY.SA,24031,BVZ0047
032,QLD.2.H2-LING-SY.SA,24032,BVZ0047
033,QLD.3.A1-LING-AR.PE,24033,BVZ0047
034,QLD.3.A2-LING-AR.PE,24034,BVZ0047
035,QLD.3.B1-LING-CA.SU,24035,BVZ0047
036,QLD.3.B2-LING-CA.SU,24036,BVZ0047
037,QLD.3.C1-LING-CA.AU,24037,BVZ0047
038,QLD.3.C2-LING-CA.AU,24038,BVZ0047
039,QLD.3.D1-LING-DO.AR,24039,BVZ0047
040,QLD.3.D2-LING-DO.AR,24040,BVZ0047
041,QLD.3.E1-LING-FL.BO,24041,BVZ0047
042,QLD.3.E2-LING-FL.BO,24042,BVZ0047
043,QLD.3.F1-LING-LI.LE,24043,BVZ0047
044,QLD.3.F2-LING-LI.LE,24044,BVZ0047
045,QLD.3.G1-LING-PO.EL,24045,BVZ0047
046,QLD.3.G2-LING-PO.EL,24046,BVZ0047
047,QLD.3.H1-LING-SY.SA,24047,BVZ0047
048,QLD.3.H2-LING-SY.SA,24048,BVZ0047
049,QLD.4.A1-LING-AR.PE,24049,BVZ0047
050,QLD.4.A2-LING-AR.PE,24050,BVZ0047
051,QLD.4.B1-LING-CA.SU,24051,BVZ0047
052,QLD.4.B2-LING-CA.SU,24052,BVZ0047
053,QLD.4.C1-LING-CA.AU,24053,BVZ0047
054,QLD.4.C2-LING-CA.AU,24054,BVZ0047
055,QLD.4.D1-LING-DO.AR,24055,BVZ0047
056,QLD.4.D2-LING-DO.AR,24056,BVZ0047
057,QLD.4.E1-LING-FL.BO,24057,BVZ0047
058,QLD.4.E2-LING-FL.BO,24058,BVZ0047
059,QLD.4.F1-LING-LI.LE,24059,BVZ0047
060,QLD.4.F2-LING-LI.LE,24060,BVZ0047
061,QLD.4.G1-LING-PO.EL,24061,BVZ0047
062,QLD.4.G2-LING-PO.EL,24062,BVZ0047
063,QLD.4.H1-LING-SY.SA,24063,BVZ0047
064,QLD.4.H2-LING-SY.SA,24064,BVZ0047
065,QLD.5.A1-LING-AR.PE,24065,BVZ0047
066,QLD.5.A2-LING-AR.PE,24066,BVZ0047
067,QLD.5.B1-LING-CA.SU,24067,BVZ0047
068,QLD.5.B2-LING-CA.SU,24068,BVZ0047
069,QLD.5.C1-LING-CA.AU,24069,BVZ0047
070,QLD.5.C2-LING-CA.AU,24070,BVZ0047
071,QLD.5.D1-LING-DO.AR,24071,BVZ0047
072,QLD.5.D2-LING-DO.AR,24072,BVZ0047
073,QLD.5.E1-LING-FL.BO,24073,BVZ0047
074,QLD.5.E2-LING-FL.BO,24074,BVZ0047
075,QLD.5.F1-LING-LI.LE,24075,BVZ0047
076,QLD.5.F2-LING-LI.LE,24076,BVZ0047
077,QLD.5.G1-LING-PO.EL,24077,BVZ0047
078,QLD.5.G2-LING-PO.EL,24078,BVZ0047
079,QLD.5.H1-LING-SY.SA,24079,BVZ0047
080,QLD.5.H2-LING-SY.SA,24080,BVZ0047
081,TAS.1.A1-LING-AC.ME,24081,BVZ0047
082,TAS.1.A2-LING-AC.ME,24082,BVZ0047
083,TAS.1.B1-LING-AT.MO,24083,BVZ0047
084,TAS.1.B2-LING-AT.MO,24084,BVZ0047
085,TAS.1.C1-LING-EU.OB,24085,BVZ0047
086,TAS.1.C2-LING-EU.OB,24086,BVZ0047
087,TAS.1.D1-LING-EU.LU,24087,BVZ0047
